Alt: 9.19 m | T: 288.09 K | P: 101214.68 Pa | D: 1.22 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 340.23 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 17.62 m | T: 288.04 K | P: 101113.45 Pa | D: 1.22 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 340.20 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 30.37 m | T: 287.95 K | P: 100960.62 Pa | D: 1.22 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 340.15 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 47.50 m | T: 287.84 K | P: 100755.61 Pa | D: 1.22 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 340.08 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 69.07 m | T: 287.70 K | P: 100497.91 Pa | D: 1.22 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 340.00 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 95.14 m | T: 287.53 K | P: 100187.06 Pa | D: 1.21 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 339.90 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 125.79 m | T: 287.33 K | P: 99822.68 Pa | D: 1.21 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 339.78 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 161.08 m | T: 287.10 K | P: 99404.49 Pa | D: 1.21 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 339.65 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 201.08 m | T: 286.84 K | P: 98932.24 Pa | D: 1.20 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 339.49 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 245.85 m | T: 286.55 K | P: 98405.79 Pa | D: 1.20 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 339.32 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 295.46 m | T: 286.23 K | P: 97825.08 Pa | D: 1.19 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 339.13 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 349.99 m | T: 285.88 K | P: 97190.11 Pa | D: 1.18 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 338.92 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 409.49 m | T: 285.49 K | P: 96500.98 Pa | D: 1.18 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 338.69 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 474.03 m | T: 285.07 K | P: 95757.89 Pa | D: 1.17 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 338.44 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 543.70 m | T: 284.62 K | P: 94961.11 Pa | D: 1.16 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 338.17 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 618.55 m | T: 284.13 K | P: 94111.01 Pa | D: 1.15 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 337.88 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 698.66 m | T: 283.61 K | P: 93208.05 Pa | D: 1.15 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 337.57 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 784.10 m | T: 283.05 K | P: 92252.79 Pa | D: 1.14 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 337.24 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 874.95 m | T: 282.46 K | P: 91245.87 Pa | D: 1.13 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 336.89 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 971.26 m | T: 281.84 K | P: 90188.06 Pa | D: 1.11 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 336.52 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1073.13 m | T: 281.18 K | P: 89080.18 Pa | D: 1.10 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 336.12 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1180.61 m | T: 280.48 K | P: 87923.18 Pa | D: 1.09 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 335.70 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1293.78 m | T: 279.74 K | P: 86718.21 Pa | D: 1.08 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 335.26 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1412.71 m | T: 278.97 K | P: 85466.40 Pa | D: 1.07 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 334.80 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1537.44 m | T: 278.16 K | P: 84169.29 Pa | D: 1.05 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 334.31 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1668.06 m | T: 277.31 K | P: 82828.18 Pa | D: 1.04 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 333.80 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1804.59 m | T: 276.42 K | P: 81445.00 Pa | D: 1.03 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 333.27 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 1947.11 m | T: 275.50 K | P: 80021.23 Pa | D: 1.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 332.71 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 2095.62 m | T: 274.53 K | P: 78559.12 Pa | D: 1.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 332.13 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 2250.21 m | T: 273.53 K | P: 77060.32 Pa | D: 0.98 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 331.52 m/s | V_w: [0.00, 0.00, 0.00] m/s
